id,price,sales_date,sales_amount
201,2634,04.11.2024,2648
202,2099,01.11.2024,370
203,4506,13.07.2024,1136
204,2035,05.03.2024,3424
205,2738,03.11.2024,718
206,753,22.09.2024,3729
207,2968,03.06.2024,4303
208,4345,28.02.2024,2302
209,3541,23.07.2024,3358
210,4784,11.08.2024,3737
211,2218,23.05.2024,2481
212,1844,25.10.2024,1730
213,792,19.07.2024,2415
214,1038,03.02.2024,1005
215,2980,29.07.2024,4488
216,4406,14.10.2024,2937
217,811,30.01.2024,3519
218,3811,02.04.2024,4655
219,3079,28.11.2024,44
220,3258,29.10.2024,2793
221,1320,26.12.2024,3326
222,4590,08.07.2024,3410
223,4800,19.08.2024,3141
224,2352,25.03.2024,3127
225,4217,08.10.2024,2104
226,687,03.11.2024,3247
227,1765,21.12.2024,3837
228,2085,04.05.2024,728
229,3899,12.09.2024,3355
230,2234,05.08.2024,4390
231,3032,25.02.2024,1960
232,3390,03.06.2024,259
233,2601,24.12.2024,2830
234,2438,11.03.2024,937
235,4457,16.11.2024,4859
236,3633,02.10.2024,1356
237,4114,14.11.2024,1730
238,657,15.03.2024,4057
239,4167,07.06.2024,3725
240,687,28.06.2024,4736
241,1849,18.03.2024,1727
242,736,31.10.2024,2950
243,1967,18.04.2024,334
244,2932,13.02.2024,4640
245,3340,08.09.2024,4447
246,1357,15.05.2024,4786
247,2950,03.11.2024,4352
248,939,15.06.2024,3179
249,3534,15.05.2024,4180
250,1521,27.09.2024,907
251,1320,20.12.2024,1119
252,1193,25.09.2024,2905
253,823,25.11.2024,3605
254,3038,31.03.2024,2188
255,1527,21.03.2024,382
256,4396,17.06.2024,1616
257,1765,01.06.2024,2842
258,2115,14.01.2024,2243
259,3535,07.02.2024,4205
260,3819,06.04.2024,1218
261,4638,18.01.2024,4128
262,3363,06.07.2024,3818
263,3550,06.03.2024,3462
264,872,25.10.2024,1038
265,2970,18.08.2024,3603
266,2101,11.08.2024,3939
267,2310,02.12.2024,3587
268,2003,19.05.2024,4881
269,1295,15.10.2024,3601
270,2867,26.04.2024,2854
271,2409,03.02.2024,1672
272,525,22.07.2024,4409
273,1893,04.07.2024,3724
274,1356,11.08.2024,3899
275,1872,28.10.2024,2802
276,4982,06.09.2024,481
277,3404,10.01.2024,2449
278,516,25.08.2024,4727
279,1134,21.08.2024,4070
280,854,12.02.2024,1496
281,722,05.07.2024,647
282,4430,26.09.2024,2680
283,4014,28.03.2024,2530
284,3696,28.07.2024,4509
285,4373,14.06.2024,3773
286,1209,17.07.2024,4975
287,746,04.11.2024,2643
288,1127,14.02.2024,723
289,2038,08.12.2024,4683
290,2887,05.05.2024,4976
291,3137,13.11.2024,2796
292,4475,21.11.2024,4153
293,2314,22.12.2024,2507
294,4355,09.12.2024,3473
295,1343,27.12.2024,1875
296,1409,11.09.2024,1222
297,2740,30.05.2024,4046
298,3868,26.05.2024,3103
299,3574,07.08.2024,4974
300,1905,06.12.2024,3809
